"s001" "s002" "s003" "s005" "s006" "s007" "s008" "s009" "s011" "s012" "s014" "s015" "s017" "s018" "s019" "s020" "s021" "s022" "s023" "s024" "s025" "s027" "s028" "s029" "s030" "s032" "s033" "s034" "s036" "s037" "s040" "s041" "s042" "s044" "s046" "s047" "s049" "s050" "s053" "s054" "s055" "s056" "s072" "s077" "s083" "s085" "s086" "s087" "s088" "s089" "s091" "s093" "s094" "s097" "s098" "s099" "s100" "s103" "s104" "s105" "s106" "s107" "s108" "s109" "s110" "s111" "s112" "s115" "s116" "s119" "s120" "s122" "s123" "s125" "s126" "s128" "s129" "s130" "s132" "s133" "s134" "s135" "s137" "s138" "s140" "s151" "s162" "s166" "s168" "s169" "s170" "s171" "s172" "s173" "s174" "s175" "s176" "s177" "s178" "s179" "s182" "s183" "s184" "s185" "s187" "s188" "s189" "s190" "s192" "s193" "s196" "s197" "s198" "s199" "s201" "s202" "s204" "s205" "s207" "s208" "s209" "s210" "s211" "s214" "s215" "s216" "s218" "s219" "s220" "s221" "s225" "s227" "s228" "s229" "s230" "s231" "s232" "s233" "s234" "s236" "s240" "s241"
"cpd00051" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cpd00054" 10203 17308 9759 3972 3280 9351 27409 12015 17466 16967 11724 9844 7982 2991 1617 6485 18149 6399 6491 6423 6173 5145 7655 8185 8403 1351 3523 6482 5174 4068 4237 7020 13239 9692 293 584 778 1850 675 492 13837 1677 21071 10005 11802 9738 7815 8082 12409 9686 16794 9911 6079 7057 4505 6547 10430 5211 7769 6280 6856 7800 6395 3970 3797 3554 6617 7917 6138 7400 5945 6859 4917 8688 1443 8492 5261 512 1717 14176 205 1481 1138 1896 6404 11351 7471 11119 4988 8109 9965 5755 8609 6211 9061 13071 7102 10562 13400 39365 13035 9401 8790 7800 10684 12912 15281 6761 10182 20858 9620 12036 11164 18276 12611 18417 12736 12527 11741 11031 17872 12066 15252 7985 12740 16575 7573 12184 15178 11640 11024 6973 1664 10110 5322 1010 706 1871 1166 17707 8279 9755
"cpd00058" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00060" 886 652 1184 1832 5805 3615 432 3377 2138 398 3650 1312 2006 1446 3013 1543 114 2864 1604 954 970 1378 661 1122 2767 2871 4483 1779 1756 1282 1410 400 313 4514 4179 3908 1924 1602 2922 1633 2496 1040 7570 1776 2836 2567 2885 900 1002 3059 151 1745 1417 69 1581 834 1685 2018 1468 1836 1596 1777 736 1268 549 1232 1226 885 2122 1742 1206 2665 1213 846 1030 650 1670 1380 1226 604 1808 1211 576 1506 1497 1263 3370 1291 1508 1496 957 1599 197 1941 97 992 1034 227 1124 354 3706 562 1792 1413 1330 1162 870 1310 1186 966 1553 1116 1880 48 450 265 418 843 1191 153 960 892 1324 2372 46 398 3386 44 3026 2295 994 249 1191 554 1069 2435 1102 1515 2516 1919 1535 2003
"cpd00063" 26648 26527 26392 14808 28655 29997 31546 37143 46595 29545 38796 23309 20293 13068 15273 18012 20287 22844 19111 16886 14656 16035 17222 19332 24659 14710 26966 17296 15275 16458 15835 13263 20880 34368 18689 25111 12131 15871 24115 15799 32432 21275 64347 24446 29399 28294 24575 17521 28377 28779 28278 25199 17410 14108 19799 18712 25614 17846 18324 16378 18545 23149 13339 15392 12460 17156 23382 19233 19000 21395 15961 30136 21406 20901 14697 17729 18372 12110 12516 19840 19689 15277 15033 16944 18556 23093 24854 29052 17825 21960 24282 17484 17587 18668 27920 32854 19961 18633 28673 55406 39952 17802 24860 20361 30785 31846 29939 20038 22507 34111 26303 24370 27616 19436 34381 26431 25801 28161 33683 28492 42469 30598 30303 32241 27791 34459 30139 25270 39436 31834 24252 16885 15068 21637 20122 29129 18852 16654 25547 38016 22598 29600
"cpd00065" 886 652 1184 1540 5774 3599 432 3358 2138 398 3650 1312 2006 1274 3013 1543 114 2459 1604 954 970 1378 661 1122 2767 2856 4404 1779 1756 1282 1410 400 313 4498 4179 3908 1924 1602 2922 1633 2496 1040 7512 1776 2836 2567 2873 900 1002 3050 151 1745 1417 69 1581 834 1685 2000 1468 1836 1596 1777 736 1268 549 1232 1226 885 2106 1742 1206 2665 1213 846 1030 650 1670 1380 1226 604 1808 1211 576 1506 1497 1263 3370 1291 1508 1496 957 1599 197 1941 97 992 1034 227 1124 354 3706 562 1792 1413 1330 1162 870 1310 1186 966 1553 1116 1880 48 450 265 418 843 1191 153 960 892 1324 2372 46 398 3386 44 3026 2295 994 249 1191 554 1069 2435 1102 1515 2516 1919 1535 2003
"cpd00066" 6130 5072 5238 3057 2840 5023 21094 9041 14206 10713 4106 6856 4963 2365 1372 4827 15045 4698 4950 4416 3477 1587 6400 6156 4984 1145 2878 5335 3286 2439 2220 3479 9001 5287 276 443 545 1320 480 310 6660 1218 12565 6051 5077 8649 5451 5759 9664 5231 10288 7563 3776 3335 1060 2486 6396 3028 3803 1744 3310 5177 2686 1601 2356 1508 3101 5583 3583 2959 3143 2919 1481 6149 1007 7869 2646 422 1368 13855 149 1126 566 831 5628 7945 2494 6355 2284 6840 7270 2739 5595 3218 5798 9286 5173 6598 11571 1960 10153 7328 2884 2812 7262 9866 10126 2239 6710 13417 5045 9498 4067 16733 3419 16579 6654 9201 9073 6596 5206 5726 7054 2082 9695 10752 3651 8129 10239 2761 7269 6692 774 9371 4410 778 331 1339 909 13591 2479 3178
"cpd00067" 26194 26447 26249 13806 27725 29894 31440 36881 46519 29393 38665 23137 20225 12047 14779 17894 20215 21435 18974 16808 14544 15974 17125 19167 24584 14203 25622 17209 15209 16227 15754 13155 20749 34233 17965 24811 12005 15623 23896 15685 32245 21018 63851 24281 29288 28158 24451 17299 28153 28627 27486 25013 17192 14108 19714 18428 25211 17742 18255 16318 18459 22973 13242 15234 12206 17081 23031 19028 18898 21265 15914 29817 21351 20326 14442 17525 18251 11884 12388 19758 19597 15101 14889 16647 18337 22965 24748 28331 17733 21891 24143 17387 17114 18531 26599 32392 19745 18556 28341 55180 39713 17727 24772 20309 30238 31446 29637 19965 22341 33952 25998 23679 27475 19436 33620 26318 25456 27873 33197 28294 42073 29699 30200 32089 26851 34290 29994 24757 39240 31676 24133 16642 14430 21483 19738 28820 18746 16439 25334 37679 22479 29469
"cpd00069" 9080 13720 9297 2690 2757 9077 15134 11159 15257 8583 11352 8525 7672 1925 1337 6052 6045 4479 5985 5902 5391 5079 6618 6973 8200 1138 3201 6072 5048 3462 4021 4547 5881 9394 30 195 389 304 254 173 11989 386 19606 9376 11360 9081 7534 7188 11502 9204 7156 8225 5299 4198 4395 6388 8494 4966 7087 6206 6623 7390 5907 3833 2821 3452 6408 4580 5900 6924 5655 6533 4796 7386 154 114 5085 151 149 164 67 138 267 269 5756 10296 7292 8639 4789 7567 8501 5314 6682 5875 3509 8205 5418 4920 11605 37894 11960 6698 8720 7634 8422 9519 7183 6581 8913 11807 9008 5486 7833 3337 10348 5229 7547 9736 10579 5876 14863 6886 10347 7685 3099 8059 7183 4226 12940 10607 9612 146 111 252 358 280 380 183 254 15198 8019 9425
"cpd00076" 10186 3360 7518 8358 9253 6582 10831 11093 12913 7267 6072 8478 5442 7864 4884 5542 4317 12551 6002 5395 4326 2623 7324 7501 5662 4539 9577 5745 3914 6183 3334 3260 5258 7141 4756 3197 1616 2861 3420 2263 8192 5843 16565 8904 6657 9566 6753 8434 13160 6371 9836 8891 6561 3135 2710 4367 9052 4042 4483 2841 4299 7034 3442 4062 4886 2821 5435 6253 4593 5190 4231 7889 3475 10599 3342 2844 4223 1516 1856 1422 2514 3026 3524 4295 6522 8905 4279 11505 4022 7002 8988 3856 7207 4443 17717 13866 7811 5688 14910 2571 11318 6263 4879 3965 12591 13268 9447 3689 8585 9331 7280 7729 4722 2534 11891 5759 9348 12920 14199 12410 12901 11500 4733 5912 8582 8522 6353 7913 11965 4780 9462 7561 4712 4868 3609 2717 3096 2792 2347 17324 5469 8052
